condition,type,side,id,source,max_abs_delta_q,final_delta_q,min_delta_q,max_delta_q,baseline_max_q,pulse_end_delta_q,max_abs_delta_synaptic_input,maximum_argument_over_all_queries,classification,tau_s,gain,theta
DNp09_bilateral,DNb02,R,13922,False,0.0010683929454522074,5.6111480006115766e-05,8.809907236367875e-08,0.0010683929454522074,0.02913189228391729,0.0008618676826203549,3.6083767885114924,0.030754204020334464,MATERIAL_PANEL_RESPONSE,0.01638449728488922,0.0003641178906730757,114.16260528564453
DNp09_bilateral,DNb02,L,529488,False,3.783593288939574e-58,1.4585192057487051e-61,-1.1948189333493392e-58,3.783593288939574e-58,2.2492588761739828e-43,1.7922284000240088e-58,21.1022313155691,-0.005290949198821031,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019536199048161507,0.00031464450189488583,128.4536895751953
DNp09_bilateral,DNb05,R,10065,False,7.486487689301047e-05,7.3837160260104e-05,-2.526545368086719e-05,7.486487689301047e-05,0.7456052058444457,-6.433014710371943e-06,3.6736125877214363,0.96316847728198,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020868588238954544,5.08413860550008e-05,566.957275390625
DNp09_bilateral,DNb05,L,10118,False,0.00014249503703611666,0.00013405245247899433,-1.2275611668166597e-05,0.00014249503703611666,0.7196837893644455,-6.190522032767376e-06,4.989148949729497,0.9072400081237942,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.020868588238954544,6.486901658325508e-05,566.957275390625
DNp09_bilateral,DNg13,L,11074,False,0.0,0.0,0.0,0.0,2.17e-322,0.0,5.562343070875144,-0.024034224656723998,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019702807068824768,0.00012994579420231195,284.58477783203125
DNp09_bilateral,DNg13,R,512006,False,0.0,0.0,0.0,0.0,2.67e-322,0.0,12.540982957218318,-0.004417882843133053,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021836107596755028,0.00013072376711535907,307.74310302734375
DNp09_bilateral,DNg100,L,10045,False,0.0,0.0,0.0,0.0,1.93e-322,0.0,70.6239474675599,-0.072177417134358,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.018692342564463615,5.64052823774715e-05,663.258544921875
DNp09_bilateral,DNg100,R,10056,False,0.0,0.0,0.0,0.0,2.8e-322,0.0,74.1383739080245,-0.06842729647325473,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.022916041314601898,5.7706444761764594e-05,559.1860961914062
DNp09_bilateral,DNp09,L,10783,True,0.2171367265246232,0.00015377182262766857,0.00015377182262766857,0.2171367265246232,0.0,0.2171367265246232,10.124675858359296,0.25541281188299525,MATERIAL_SOURCE_RESPONSE,0.0193028561770916,0.00015913539750662226,188.37411499023438
DNp09_bilateral,DNp09,R,11177,True,0.20798304245379506,0.00039358989543560616,0.00039358989543560616,0.20798304245379506,2.77e-322,0.20798304245379506,2.910346981906173,0.25542922803501106,MATERIAL_SOURCE_RESPONSE,0.022328896448016167,0.00019873336181496843,204.20736694335938
DNp09_bilateral,LAL013,R,14674,False,0.0,0.0,0.0,0.0,0.0,0.0,2.5762101731419307,-0.39363144449672205,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.01963917538523674,0.0005575017035691652,55.06699752807617
DNp09_bilateral,LAL013,L,512258,False,0.0,0.0,0.0,0.0,2.7e-322,0.0,2.2351835129284154,-0.5239756496163286,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021951518952846527,0.0006989319379934785,52.0065803527832
DNa03_izquierda,DNa01,L,10442,False,4.63856709502143e-80,1.7244317924717897e-83,-4.63856709502143e-80,1.2650637531876628e-80,2.192793209806263e-65,-1.370485732619968e-80,6.186462243751009,-0.031904721830308784,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.017757754772901535,0.0001069131233975199,322.96826171875
DNa03_izquierda,DNa01,R,10760,False,0.0029239860475345977,-3.491384816316223e-05,-0.0029239860475345977,-2.566102538792414e-11,0.03290040538306633,-0.00041388577885881697,31.667947915934747,0.035281505400983064,MATERIAL_PANEL_RESPONSE,0.020287340506911278,0.00010904931326627615,324.7102966308594
DNa03_izquierda,DNa02,R,10360,False,0.0,0.0,0.0,0.0,2.6e-322,0.0,17.332824338157593,-0.024333324581389083,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02128838188946247,6.767527340244853e-05,641.8660278320312
DNa03_izquierda,DNa02,L,523769,False,1.6320507063024654e-66,-2.2820311278643315e-69,-3.7092061506874214e-67,1.6320507063024654e-66,4.84598334015514e-52,7.418412301374843e-68,300.8638614361878,-0.017985986437130192,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02310219220817089,5.593889479398343e-05,547.9972534179688
DNa03_izquierda,DNa03,R,10975,False,0.0,0.0,0.0,0.0,2.57e-322,0.0,13.259563280662405,-0.606715332367665,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021164411678910255,0.0002445473228540243,175.61532592773438
DNa03_izquierda,DNa03,L,519624,True,0.2215476669778101,0.0001756872255307175,0.0001756872255307175,0.2215476669778101,0.0,0.2215476669778101,21.431619631054673,0.29561572030151867,MATERIAL_SOURCE_RESPONSE,0.019608700647950172,0.00018521661058130832,184.01197814941406
DNa03_izquierda,DNa11,L,10971,False,0.0,0.0,0.0,0.0,2.67e-322,0.0,266.24408486766606,-0.5451503472264315,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02157508209347725,0.0002458850147672011,170.64178466796875
DNa03_izquierda,DNa11,R,11233,False,0.0,0.0,0.0,0.0,1.63e-322,0.0,7.0956625286562485,-0.39828596780338155,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.0165187306702137,0.0001981259453434468,184.27879333496094
DNa03_izquierda,DNb02,R,10805,False,0.00019367671233276249,-0.00016090047281167334,-0.00016531825364892025,0.00019367671233276249,0.004375022051082948,0.00018603578557326462,0.6988164675898361,0.005025762443494577,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.018618112429976463,0.0003459995451612245,104.37769317626953
DNa03_izquierda,DNb02,L,12767,False,0.0,0.0,0.0,0.0,2.9e-322,0.0,13.54803230679721,-0.08028839926139071,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02372891455888748,0.000334602127656399,97.83916473388672
DNa03_izquierda,DNb02,R,13922,False,0.00026324912116684404,-0.000250066469630196,-0.00026324912116684404,-2.965859849379804e-11,0.02913189228391729,-0.00011333747863780108,0.7824466898796629,0.029594203859093882,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.01638449728488922,0.0003641178906730757,114.16260528564453
DNa03_izquierda,DNb02,L,529488,False,4.5801392445058e-58,3.0142730252139905e-61,-3.982729777831131e-59,4.5801392445058e-58,2.2492588761739828e-43,1.5930919111324523e-58,13.08655711111021,-0.007812450045280788,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019536199048161507,0.00031464450189488583,128.4536895751953
