group,time_ms,n_L,n_R,n_unknown,L_minus_R_sham,L_minus_R_odor_left,L_minus_R_odor_right,L_minus_R_uniform,anti_odor_LminusR,common_odor_LminusR_vs_sham,uniform_LminusR_vs_sham,left_side_anti_odor,right_side_anti_odor
LAL_type_prefix,40,333,332,0,-0.053079377661771621,-0.053068569673671906,-0.053076802776972465,-0.053068017625229336,4.1165516502794652e-06,6.6914364494352618e-06,1.1360036542285012e-05,4.153613538324108e-06,3.7061888044642721e-08
LAL_type_prefix,60,333,332,0,-0.035320305484972031,-0.035288461599428722,-0.035305749950212129,-0.035284899026524819,8.6441753917032571e-06,2.3199710151605712e-05,3.5406458447212463e-05,6.8384327316095561e-06,-1.805742660093701e-06
LAL_type_prefix,100,333,332,0,0.017688028110425219,0.017915329227129489,0.017803946852929103,0.017957897284416213,5.5691187100193051e-05,0.00017160992960407739,0.00026986917399099419,7.222942241215391e-05,1.6538235311960858e-05
LAL_type_prefix,160,333,332,0,0.023029505374927789,0.022936161542390338,0.02312944666918923,0.02277913066147802,-9.6642563399446102e-05,3.2987308619947253e-06,-0.00025037471344976914,-0.00027777405574377911,-0.00018113149234433301
LAL_type_prefix,220,333,332,0,0.0033223117180021244,0.0039872164636757801,0.0044649055025224871,0.0037521135754522983,-0.0002388445194233535,0.00090374926509700915,0.00042980185745017385,-0.00029548583487207236,-5.6641315448718865e-05
LAL_type_prefix,320,333,332,0,-0.014026729645370412,-0.011013867196517924,-0.010366792177838063,-0.0091294839831827512,-0.00032353750933993008,0.0033363999581924181,0.0048972456621876603,-0.00041244812900209649,-8.8910619662166401e-05
LAL_type_prefix,335,333,332,0,-0.019519503651209191,-0.02110618635596806,-0.020953899596992565,-0.020056732538639765,-7.614337948774752e-05,-0.0015105393252711208,-0.00053722888743057418,-9.9870370649665641e-05,-2.3726991161918121e-05
DNa02,0,1,1,0,6.7937777207044388e-51,6.7937777207044388e-51,6.7937777207044388e-51,6.7937777207044388e-51,0,0,0,0,0
DNa02,1,1,1,0,-4.0057275090496397e-06,-4.0057275090496397e-06,-4.0057275090496397e-06,-4.0057275090496397e-06,0,0,0,0,0
DNa02,20,1,1,0,-0.11397094501216357,-0.11397095885367386,-0.11397094584428119,-0.11397096105950728,-6.5046963371173661e-09,-7.3368139619223172e-09,-1.604734371773997e-08,9.1668590773696934e-10,7.4213822448543354e-09
DNa02,40,1,1,0,-0.10363386387348894,-0.10363473243313849,-0.1036347185374725,-0.10363563145077853,-6.947832996428982e-09,-8.6161181656052577e-07,-1.7675772895908715e-06,2.8873684311536696e-08,3.5821517307965678e-08
DNa02,60,1,1,0,-0.039572263909776126,-0.039572600947320589,-0.039572597244139175,-0.039572951748977347,-1.8515907071470217e-09,-3.3518595375647831e-07,-6.8783920122161835e-07,1.2148575196171962e-08,1.4000165901584261e-08
DNa02,100,1,1,0,-0.0057266863227758528,-0.0057267369776617984,-0.0057267370019575374,-0.0057267903702011586,1.2147869515866105e-11,-5.0667033815038343e-08,-1.0404742530577271e-07,2.1506593682590197e-09,2.138511498959994e-09
DNa02,160,1,1,0,-0.00030760284625441341,-0.00030760578112160053,-0.00030760584617144766,-0.00030760894790126048,3.2524923563887614e-11,-2.9673921106768142e-09,-6.101646847066905e-09,1.6019208556221701e-10,1.2766716202543445e-10
DNa02,220,1,1,0,0.00015230469058460884,-1.5810794624425873e-05,0.01045835099589758,0.0042514717519076938,-0.0052370808952610023,0.005068965410051968,0.0040991670613230845,-0.0052370808876393915,7.621611636149145e-12
DNa02,320,1,1,0,0.21950845519126166,0.2087770901620942,0.2606925301279478,0.26238161117074377,-0.0259577199829268,0.015226354953759347,0.042873155979482103,-0.025846509546937499,0.00011121043598930578
DNa02,335,1,1,0,0.11467497067932486,0.10907497593194355,0.13735475546916845,0.13877442546222554,-0.014139889768612447,0.0085398950212311475,0.024099454782900681,-0.014084918286488224,5.4971482124220829e-05
