type,side,time_ms,n,odor_left,odor_right,uniform,sham,anti_odor,common_vs_sham
DM1_lPN,L,220,1,0.99241677128537775,0.99268815521469334,0.99755432958699819,0.98071134166784091,-0.00013569196465779143,0.011841121582194636
DM1_lPN,L,320,1,0.99183403077860877,0.99211957416309449,0.99738351505156519,0.97875343611084398,-0.00014277169224286013,0.013223366360007649
DM1_lPN,L,335,1,0.99175386529720311,0.99203665998024415,0.9973349640253415,0.97871997181829751,-0.00014139734152052164,0.013175290820426122
DM1_lPN,R,0,1,0.5932819539533325,0.5932819539533325,0.5932819539533325,0.5932819539533325,0,0
DM1_lPN,R,1,1,0.61910101963884112,0.61910101963884112,0.61910101963884112,0.61910101963884112,0,0
DM1_lPN,R,20,1,0.88921557218668912,0.88924470570006597,0.88926884723882682,0.88919092768990871,-1.4566756688427773e-05,3.9211253468840468e-05
DM1_lPN,R,40,1,0.96619014604280062,0.96692100082122012,0.96751484239616237,0.96550357804976084,-0.00036542738920974926,0.0010519953822495376
DM1_lPN,R,60,1,0.98459267199905542,0.98689768781734399,0.98849561750446524,0.98223359443699609,-0.0011525079091442847,0.0035115854712036709
DM1_lPN,R,100,1,0.98846684186691536,0.99366427812549685,0.99619024661266609,0.98239281991388361,-0.0025987181292907446,0.0086727400823225498
DM1_lPN,R,160,1,0.98737614752920999,0.99465986329652767,0.99736113995463438,0.9779251311210202,-0.0036418578836588389,0.013092874291848577
DM1_lPN,R,220,1,0.98650425387934115,0.99482297777755357,0.99758675984191059,0.97510420743921244,-0.0041593619491062106,0.015559408389234974
DM1_lPN,R,320,1,0.98501787251024719,0.99436213235942128,0.9974367840807381,0.97114353554520039,-0.0046721299245870429,0.018546466889633906
DM1_lPN,R,335,1,0.98481139647864124,0.99424658220121032,0.99732413680003351,0.97143584637551739,-0.0047175928612845364,0.018093142964408337
MBON32,L,0,1,0.30552888081497664,0.30552888081497664,0.30552888081497664,0.30552888081497664,0,0
MBON32,L,1,1,0.34419573008732685,0.34419573008732685,0.34419573008732685,0.34419573008732685,0,0
MBON32,L,20,1,0.78368957555232066,0.7836895437323953,0.78368952270276604,0.78368959755004919,1.5909962680638046e-08,-3.7907691208260985e-08
MBON32,L,40,1,0.40857506765225465,0.40852553432657912,0.40848881693634281,0.40861433540862319,2.4766662837766296e-05,-6.4034419206271398e-05
MBON32,L,60,1,0.11815529059473862,0.11814096611693092,0.11813034786276724,0.11816664638595528,7.162238903846152e-06,-1.8518030120512341e-05
MBON32,L,100,1,0.0098813389185598757,0.0098801409610301,0.0098792529553590573,0.0098822886045293271,5.9897876488780588e-07,-1.5486647343392751e-06
MBON32,L,160,1,0.00023897899444649706,0.00023895002198758187,0.00023892854567712622,0.00023900196248755908,1.4486229457592978e-08,-3.7454270519624629e-08
MBON32,L,220,1,5.779678266007944e-06,5.7789775705703088e-06,5.7784581685824077e-06,5.7802337453213186e-06,3.5034771881758451e-10,-9.0582703219268103e-10
MBON32,L,320,1,1.168988450100225e-08,1.1688467285655845e-08,1.1687416751531209e-08,1.1691008004546455e-08,7.086076732028742e-13,-1.8321112174078987e-12
MBON32,L,335,1,4.609949880562298e-09,4.6093909963649067e-09,4.6089767142852323e-09,4.6103929384068072e-09,2.7944209869567417e-13,-7.2249994320448082e-13
MBON32,R,0,1,0.43671258584136113,0.43671258584136113,0.43671258584136113,0.43671258584136113,0,0
MBON32,R,1,1,0.46248632000662232,0.46248632000662232,0.46248632000662232,0.46248632000662232,0,0
MBON32,R,20,1,0.77709733866334552,0.77709733047828367,0.77709732432206458,0.77709734509298745,4.0925309252592967e-09,-1.052217291075408e-08
MBON32,R,40,1,0.47430375954573339,0.47429354397108936,0.47428520040995731,0.47431167847001232,5.107787322017332e-06,-1.3026711600971908e-05
MBON32,R,60,1,0.1822693386881363,0.1822654129633296,0.18226220663122858,0.18227238183730443,1.9628624033513065e-06,-5.0060115714956055e-06
MBON32,R,100,1,0.026917066003297001,0.026916486262378921,0.02691601275952098,0.026917515407720111,2.8987045904045605e-07,-7.3927488215136394e-07
MBON32,R,160,1,0.0015275620899985354,0.0015275291893009539,0.00152750231768667,0.001527587594009998,1.645034879073793e-08,-4.1954360253471448e-08
MBON32,R,220,1,8.6690203847435769e-05,8.6688336710119998e-05,8.6686811727446384e-05,8.6691651217704328e-05,9.3356865788548227e-10,-2.3809389264442581e-09
MBON32,R,320,1,7.2653288767436425e-07,7.265172395779776e-07,7.2650445900973847e-07,7.2654501778888835e-07,7.8240481933218697e-12,-1.995416271742608e-11
MBON32,R,335,1,3.5460762202960192e-07,3.5459998447548222e-07,3.5459374651022574e-07,3.5461354252011154e-07,3.8187770598527255e-12,-9.7392675694669418e-12
LAL170,L,0,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,1,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,20,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,40,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,60,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,100,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,160,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,220,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
LAL170,L,320,1,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,2.7667676167109806e-322,0,0
