grupo,ids,n,baseline_sham,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro,primer_impar_negativo_3muestras_ms,R_sham_entrada_L,R_sham_entrada_R
CL322|R,12990,1,171.6250930220157,-0.43732415960904303,1.0297460846648285,0.49630984740581224,-0.7335351221369357,0.29621096252789064,0.5334362372590162,-0.9336340070148553,-0.0961120776499732,118,1.0297460846648288,0.0
PS208|L,25959;56409;63561,3,-11.624633907530347,0.3390323458555134,1.7172712315772498,1.7310791732763093,-0.6891194428608682,1.0281517887163816,-0.013807941699059943,-1.3920468274207967,-0.3252244041564535,26,0.0,-1.7172712315772505
PS020|R,12250,1,-21.52612912906501,2.8848887693101046,4.180178670003989,5.308581201925064,-0.647644950346942,3.5325337196570468,-1.1284025319210755,-2.423692432614959,-1.7564862373890295,16,0.0,-4.180178670003988
PS026|L,515231;530021,2,6.824827224668076,-2.3010414327928936,-1.097096253515298,-3.4256221130666034,-0.6019725896387976,-1.6990688431540955,2.328525859551305,1.1245806802737093,-0.02748442675841139,238,-1.0970962535152982,0.0
CB1958|R,167278;521012,2,41.01806894085771,2.0513484451158344,3.249114823460461,3.001613404898398,-0.598883189172313,2.650231634288148,0.24750141856206306,-0.9502649597825629,-2.298849863677898,208,0.0,-3.249114823460461
LAL035|L,57102;142802,2,156.20278290297236,-0.3347552304405107,0.811388579499076,-0.9390328072888199,-0.5730719049697935,0.2383166745292826,1.750421386787896,0.6042775768483091,-1.4156661563473854,146,0.8113885794990784,0.0
PLP029|R,12110,1,566.642164551275,1.7743135110780281,2.9017051300187195,3.2051408491965567,-0.5636958094703456,2.338009320548376,-0.3034357191778374,-1.4308273381185284,-1.470877791900191,16,0.0,-2.9017051300187204
PS209|L,29725;37129;58090,3,-77.43268360309533,0.39405064063346984,1.4877639791081811,1.5295632484835933,-0.5468566692373557,0.9409073098708253,-0.04179926937541212,-1.1355126078501234,-0.3522513712580577,16,0.0,-1.4877639791081814
DNp15|L,12069,1,0.25643650660655,0.05765956877175136,1.0521787332448835,1.2523635313327852,-0.4972595822365663,0.5549191510083175,-0.20018479808790132,-1.1947039625610334,0.14252522931614994,199,1.0521787332448838,0.0
LAL021|L,82950;116987;557800,3,8.679859104004198,-0.9167062906364201,0.038270123490677564,-1.6751667260424914,-0.4774882070635487,-0.4392180835728712,1.713436849533169,0.7584604354060716,-0.7967305588967489,182,0.03827012349067753,0.0
IB076|L,35372;97863,2,-39.70614422024768,-1.829889062872247,-0.8925925994342863,-2.3143023605611335,-0.4686482317189807,-1.3612408311532669,1.421709761126848,0.48441329768888647,0.40817930174539974,228,0.0,0.8925925994342863
SAD005|L,21638;533531,2,374.71110848043475,4.02873531454771,4.93571684279811,7.937105300456475,-0.4534907641251997,4.482226078672909,-3.0013884576583636,-3.908369985908763,-1.0273468568893465,121,4.935716842798111,0.0
PS021|R,32939,1,-72.9040324631208,0.5415835093285503,1.4334892369414185,1.7433629242891577,-0.4459528638064342,0.9875363731349855,-0.30987368734773846,-1.2017794149606071,-0.2317098219808117,16,0.0,-1.4334892369414183
GNG100|R,10920,1,603.7435383236507,-1.603242285940868,-0.749321301810714,-3.9777718500611186,-0.42696049206507697,-1.1762817938757903,3.2284505482504047,2.374529564120251,-1.6252082623095363,73,-0.749321301810714,0.0
PS321|L,11919,1,25.397260601500786,0.5870469155302801,1.4383432340563873,1.7437690090060236,-0.4256481592630536,1.0126950747933339,-0.30542577494963624,-1.1567220934757438,-0.28162114058064364,16,-0.20547760486519814,-1.6438208389215851
AOTU018|L,121558;543277,2,164.95604032923447,-9.302529639335512,-8.460376537563834,-8.300264002684605,-0.42107655088583906,-8.881453088449673,-0.1601125348792318,-1.00226563665091,9.462642174214745,16,-8.460376537563839,0.0
CB0164|L,11577,1,2.6071889684540026,0.8389963160769288,1.6355080116443177,1.7563278780776082,-0.39825584778369444,1.237252163860623,-0.12081986643329065,-0.9173315620006793,-0.7181764496436382,259,0.0,-1.6355080116443175
PS022|R,126625;524340,2,-210.51380479426035,1.3666343622369184,2.1003794000893303,3.0422101658992524,-0.366872518926206,1.7335068811631236,-0.9418307658099218,-1.6755758036623338,-0.42480359642699617,16,0.0,-2.100379400089329
