condition,source_bodyId,target_bodyId,target_type,reachable,minimum_hops,one_path,path_signed_weights,direct_signed_weight,target_current_actuator
DNa03_left,519624,10056,DNg100,True,2,"[519624, 10106, 10056]","[0.05999999865889549, 0.029999999329447746]",0.0,True
DNa03_left,519624,10783,DNp09,True,2,"[519624, 10030, 10783]","[0.029999999329447746, 0.05999999865889549]",0.0,False
DNa03_left,519624,11177,DNp09,True,2,"[519624, 10109, 11177]","[4.619999885559082, -0.14999999105930328]",0.0,False
DNa03_left,519624,14674,LAL013,True,2,"[519624, 10109, 14674]","[4.619999885559082, -0.26999998092651367]",0.0,False
DNa03_left,519624,512258,LAL013,True,1,"[519624, 512258]",[0.08999999612569809],0.08999999612569809,False
DNa03_right,10975,10442,DNa01,True,2,"[10975, 10005, 10442]","[0.14999999105930328, -0.6899999976158142]",0.0,False
DNa03_right,10975,10760,DNa01,True,1,"[10975, 10760]",[0.14999999105930328],0.14999999105930328,False
DNa03_right,10975,10360,DNa02,True,1,"[10975, 10360]",[8.90999984741211],8.90999984741211,False
DNa03_right,10975,523769,DNa02,True,2,"[10975, 10005, 523769]","[0.14999999105930328, -8.90999984741211]",0.0,False
DNa03_right,10975,10975,DNa03,True,0,[10975],[],0.0,False
DNa03_right,10975,519624,DNa03,True,2,"[10975, 10005, 519624]","[0.14999999105930328, -7.349999904632568]",0.0,False
DNa03_right,10975,10971,DNa11,True,2,"[10975, 10005, 10971]","[0.14999999105930328, -2.429999828338623]",0.0,False
DNa03_right,10975,11233,DNa11,True,1,"[10975, 11233]",[5.519999980926514],5.519999980926514,False
DNa03_right,10975,10805,DNb02,True,1,"[10975, 10805]",[0.14999999105930328],0.14999999105930328,False
DNa03_right,10975,12767,DNb02,True,2,"[10975, 10005, 12767]","[0.14999999105930328, -1.2599999904632568]",0.0,False
DNa03_right,10975,13922,DNb02,True,1,"[10975, 13922]",[0.35999998450279236],0.35999998450279236,False
DNa03_right,10975,529488,DNb02,True,2,"[10975, 10005, 529488]","[0.14999999105930328, -1.4399999380111694]",0.0,False
DNa03_right,10975,10065,DNb05,True,2,"[10975, 10304, 10065]","[0.05999999865889549, 0.029999999329447746]",0.0,True
DNa03_right,10975,10118,DNb05,True,2,"[10975, 10617, 10118]","[0.6899999976158142, 0.029999999329447746]",0.0,True
DNa03_right,10975,11074,DNg13,True,2,"[10975, 10005, 11074]","[0.14999999105930328, -0.29999998211860657]",0.0,False
DNa03_right,10975,512006,DNg13,True,1,"[10975, 512006]",[0.029999999329447746],0.029999999329447746,False
DNa03_right,10975,10045,DNg100,True,2,"[10975, 10054, 10045]","[0.11999999731779099, 0.029999999329447746]",0.0,True
DNa03_right,10975,10056,DNg100,True,2,"[10975, 10101, 10056]","[2.5799999237060547, -0.35999998450279236]",0.0,True
DNa03_right,10975,10783,DNp09,True,2,"[10975, 10582, 10783]","[0.029999999329447746, -0.029999999329447746]",0.0,False
DNa03_right,10975,11177,DNp09,True,2,"[10975, 10109, 11177]","[1.2899999618530273, -0.14999999105930328]",0.0,False
DNa03_right,10975,14674,LAL013,True,1,"[10975, 14674]",[0.32999998331069946],0.32999998331069946,False
DNa03_right,10975,512258,LAL013,True,2,"[10975, 10070, 512258]","[0.5099999904632568, -0.05999999865889549]",0.0,False
